2026-06-19 13:14:03.767 [car-92] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 5989ms
2026-06-19 13:14:03.769 [car-13] INFO  edu.homework.inspection.car.CarAgent - Car 13 listening on car.no13
2026-06-19 13:14:03.769 [car-19] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6056ms
2026-06-19 13:14:03.769 [car-11] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6059ms
2026-06-19 13:14:03.769 [car-79] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6000ms
2026-06-19 13:14:03.769 [car-4] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6069ms
2026-06-19 13:14:03.769 [car-79] INFO  edu.homework.inspection.car.CarAgent - Car 79 listening on car.no79
2026-06-19 13:14:03.769 [car-1] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6073ms
2026-06-19 13:14:03.769 [car-4] INFO  edu.homework.inspection.car.CarAgent - Car 4 listening on car.no4
2026-06-19 13:14:03.769 [car-92] INFO  edu.homework.inspection.car.CarAgent - Car 92 listening on car.no92
2026-06-19 13:14:03.769 [car-1] INFO  edu.homework.inspection.car.CarAgent - Car 1 listening on car.no1
2026-06-19 13:14:03.769 [car-19] INFO  edu.homework.inspection.car.CarAgent - Car 19 listening on car.no19
2026-06-19 13:14:03.769 [car-86] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 5999ms
2026-06-19 13:14:03.769 [car-11] INFO  edu.homework.inspection.car.CarAgent - Car 11 listening on car.no11
2026-06-19 13:14:03.769 [car-86] INFO  edu.homework.inspection.car.CarAgent - Car 86 listening on car.no86
2026-06-19 13:14:03.769 [car-57] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6034ms
2026-06-19 13:14:03.769 [car-80] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6011ms
2026-06-19 13:14:03.785 [car-60] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6038ms
2026-06-19 13:14:03.785 [car-60] INFO  edu.homework.inspection.car.CarAgent - Car 60 listening on car.no60
2026-06-19 13:14:03.785 [car-57] INFO  edu.homework.inspection.car.CarAgent - Car 57 listening on car.no57
2026-06-19 13:14:03.785 [car-44] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6053ms
2026-06-19 13:14:03.789 [car-80] INFO  edu.homework.inspection.car.CarAgent - Car 80 listening on car.no80
2026-06-19 13:14:03.789 [car-20] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6077ms
2026-06-19 13:14:03.789 [car-24] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6076ms
2026-06-19 13:14:03.793 [car-44] INFO  edu.homework.inspection.car.CarAgent - Car 44 listening on car.no44
2026-06-19 13:14:03.793 [car-20] INFO  edu.homework.inspection.car.CarAgent - Car 20 listening on car.no20
2026-06-19 13:14:03.793 [car-24] INFO  edu.homework.inspection.car.CarAgent - Car 24 listening on car.no24
2026-06-19 13:14:03.793 [car-88] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6020ms
2026-06-19 13:14:03.793 [car-54] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6056ms
2026-06-19 13:14:03.793 [car-15] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6086ms
2026-06-19 13:14:03.793 [car-15] INFO  edu.homework.inspection.car.CarAgent - Car 15 listening on car.no15
2026-06-19 13:14:03.793 [car-88] INFO  edu.homework.inspection.car.CarAgent - Car 88 listening on car.no88
2026-06-19 13:14:03.793 [car-54] INFO  edu.homework.inspection.car.CarAgent - Car 54 listening on car.no54
2026-06-19 13:14:03.804 [car-70] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6041ms
2026-06-19 13:14:03.804 [car-73] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6039ms
2026-06-19 13:14:03.804 [car-43] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6072ms
2026-06-19 13:14:03.804 [car-38] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6076ms
2026-06-19 13:14:03.804 [car-90] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6028ms
2026-06-19 13:14:03.807 [car-30] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6084ms
2026-06-19 13:14:03.807 [car-28] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6085ms
2026-06-19 13:14:03.807 [car-59] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6061ms
2026-06-19 13:14:03.807 [car-87] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6031ms
2026-06-19 13:14:03.807 [car-73] INFO  edu.homework.inspection.car.CarAgent - Car 73 listening on car.no73
2026-06-19 13:14:03.810 [car-90] INFO  edu.homework.inspection.car.CarAgent - Car 90 listening on car.no90
2026-06-19 13:14:03.810 [car-87] INFO  edu.homework.inspection.car.CarAgent - Car 87 listening on car.no87
2026-06-19 13:14:03.810 [car-43] INFO  edu.homework.inspection.car.CarAgent - Car 43 listening on car.no43
2026-06-19 13:14:03.810 [car-70] INFO  edu.homework.inspection.car.CarAgent - Car 70 listening on car.no70
2026-06-19 13:14:03.810 [car-38] INFO  edu.homework.inspection.car.CarAgent - Car 38 listening on car.no38
